Binary,Mode,P_mpi,P_omp,Total_cores,T_steps,N,Wall_s,Throughput_Nsteps_per_s
Baseline,mpi,4,1,4,100,10000,5.5937,178771.6
Baseline,mpi,4,1,4,100,25000,13.3852,186773.8
Baseline,mpi,4,1,4,100,50000,27.4479,182163.2
Baseline,mpi,4,1,4,100,100000,44.8684,222874.2
Baseline,mpi,4,1,4,100,200000,80.8511,247368.4
ORB,mpi,4,1,4,100,10000,1.8757,533148.5
ORB,mpi,4,1,4,100,25000,5.2499,476199.5
ORB,mpi,4,1,4,100,50000,12.2105,409482.0
ORB,mpi,4,1,4,100,100000,30.2697,330363.4
ORB,mpi,4,1,4,100,200000,74.3658,268940.6
Adaptive-θ,mpi,4,1,4,100,10000,3.3562,297956.0
Adaptive-θ,mpi,4,1,4,100,25000,7.6208,328051.7
Adaptive-θ,mpi,4,1,4,100,50000,17.1129,292178.1
Adaptive-θ,mpi,4,1,4,100,100000,43.9333,227617.5
Adaptive-θ,mpi,4,1,4,100,200000,104.5554,191286.2
OpenMP,hybrid,4,4,16,100,10000,11.4517,87323.3
OpenMP,hybrid,4,4,16,100,25000,16.0364,155895.3
OpenMP,hybrid,4,4,16,100,50000,22.8982,218358.3
OpenMP,hybrid,4,4,16,100,100000,40.7924,245143.7
OpenMP,hybrid,4,4,16,100,200000,75.2837,265661.8
Parallel-Tree,hybrid,4,4,16,100,10000,11.1145,89972.6
Parallel-Tree,hybrid,4,4,16,100,25000,13.1204,190543.0
Parallel-Tree,hybrid,4,4,16,100,50000,20.5333,243506.3
Parallel-Tree,hybrid,4,4,16,100,100000,41.1273,243147.5
Parallel-Tree,hybrid,4,4,16,100,200000,67.0988,298067.7
Combined,hybrid,4,4,16,100,10000,9.9850,100150.7
Combined,hybrid,4,4,16,100,25000,11.8103,211679.6
Combined,hybrid,4,4,16,100,50000,18.7947,266032.4
Combined,hybrid,4,4,16,100,100000,30.9740,322850.9
Combined,hybrid,4,4,16,100,200000,57.1953,349678.8
