Binary,N,T_steps,MPI_ranks,OMP_threads,Total_cores,Wall_s,Speedup_vs_OMP1,Efficiency_pct
OpenMP,50000,100,4,1,4,20.0249,1.000,100.0
OpenMP,50000,100,4,2,8,14.3387,1.397,69.8
OpenMP,50000,100,4,4,16,21.1142,0.948,23.7
OpenMP,50000,100,4,8,32,27.7396,0.722,9.0
OpenMP,50000,100,4,16,64,44.8950,0.446,2.8
Parallel-Tree,50000,100,4,1,4,16.3041,1.000,100.0
Parallel-Tree,50000,100,4,2,8,21.2848,0.766,38.3
Parallel-Tree,50000,100,4,4,16,41.5452,0.392,9.8
Parallel-Tree,50000,100,4,8,32,42.8029,0.381,4.8
Parallel-Tree,50000,100,4,16,64,56.8516,0.287,1.8
Combined,50000,100,4,1,4,19.6634,1.000,100.0
Combined,50000,100,4,2,8,18.9261,1.039,51.9
Combined,50000,100,4,4,16,24.1158,0.815,20.4
Combined,50000,100,4,8,32,32.9228,0.597,7.5
Combined,50000,100,4,16,64,38.4671,0.511,3.2
